ticket_id,customer_message
1,The delivery arrived two days late and nobody told me about the delay.
2,The headphones stopped working after one week.
3,The price was higher than the same model I saw online.
4,The cashier was friendly and helped me choose the right charger.
5,I asked customer service three times for a refund and still have no answer.
6,The box arrived damaged and the product had scratches.
7,Excellent service. The staff member explained everything clearly.
8,The return process was confusing and took too long.
9,I paid for express shipping but received it normally.
10,The product works perfectly and delivery was fast.
11,Your website showed a lower price than the store.
12,The employee was rude when I asked about the warranty.
13,My order was cancelled without a useful explanation.
14,The charger cable feels cheap and already has a loose connection.
15,Support solved my issue quickly. Thank you.
16,I have been waiting for my refund for ten days.
17,The delivery driver called and arrived exactly when promised.
18,The advertised discount was not applied at checkout.
19,The TV arrived with a cracked screen.
20,S
21,The online order process was easy and clear.
22,I received the wrong color and now I have to return it.
23,The warranty information was not explained clearly.
24,The store employee kept ignoring me while helping other customers.
25,The replacement arrived quickly and fixed the problem.
26,The item is good but I think it is overpriced.
27,My package tracking has not updated for four days.
28,The support agent listened carefully and fixed my account.
29,"The product description said it included a cable, but there was no cable."
30,I am happy with the purchase and would buy from this store again.
31,The delivery arrived two days late and nobody told me about the delay This needs attention.
32,The headphones stopped working after one week This needs attention.
33,The price was higher than the same model I saw online I expected better.
34,The cashier was friendly and helped me choose the right charger Please fix this.
35,I asked customer service three times for a refund and still have no answer Please fix this.
36,The box arrived damaged and the product had scratches Please fix this.
37,Excellent service. The staff member explained everything clearly This needs attention.
38,The return process was confusing and took too long Hopefully this can be improved.
39,I paid for express shipping but received it normally This needs attention.
40,The product works perfectly and delivery was fast Hopefully this can be improved.
41,"Your website showed a lower price than the store Overall, this was frustrating."
42,The employee was rude when I asked about the warranty This needs attention.
43,My order was cancelled without a useful explanation This needs attention.
44,The charger cable feels cheap and already has a loose connection This needs attention.
45,Support solved my issue quickly. Thank you Please fix this.
46,I have been waiting for my refund for ten days Please fix this.
47,The delivery driver called and arrived exactly when promised Hopefully this can be improved.
48,The advertised discount was not applied at checkout Hopefully this can be improved.
49,The TV arrived with a cracked screen This needs attention.
50,S Hopefully this can be improved.
51,The online order process was easy and clear Please fix this.
52,I received the wrong color and now I have to return it Hopefully this can be improved.
53,"The warranty information was not explained clearly Overall, this was frustrating."
54,The store employee kept ignoring me while helping other customers Please fix this.
55,"The replacement arrived quickly and fixed the problem Overall, this was frustrating."
56,The item is good but I think it is overpriced Hopefully this can be improved.
57,My package tracking has not updated for four days I expected better.
58,The support agent listened carefully and fixed my account This needs attention.
59,"The product description said it included a cable, but there was no cable Please fix this."
60,"I am happy with the purchase and would buy from this store again Overall, this was frustrating."
